Category,Subcategory,Endpoint,Port,Protocol,TestMode,WildcardNote,Notes,Reference,Workloads
AVD-SessionHost,Core,aka.ms,443,TCP,CloudPC,,Microsoft URL shortener - used during session host deployment,https://learn.microsoft.com/en-us/azure/virtual-desktop/required-fqdn-endpoint,AVD;Windows365
AVD-SessionHost,Monitoring,*.prod.warm.ingest.monitor.core.windows.net,443,TCP,CloudPC,Wildcard - cannot auto-test,AVD agent diagnostics output. Service tag: AzureMonitor,https://learn.microsoft.com/en-us/azure/virtual-desktop/required-fqdn-endpoint,AVD;Windows365
AVD-SessionHost,Monitoring,gcs.prod.monitoring.core.windows.net,443,TCP,CloudPC,,AVD agent traffic. Service tag: AzureMonitor,https://learn.microsoft.com/en-us/azure/virtual-desktop/required-fqdn-endpoint,AVD;Windows365
AVD-SessionHost,Activation,azkms.core.windows.net,1688,TCP,CloudPC,,Windows KMS activation,https://learn.microsoft.com/en-us/azure/virtual-desktop/required-fqdn-endpoint,AVD;Windows365
AVD-SessionHost,Updates,mrsglobalsteus2prod.blob.core.windows.net,443,TCP,CloudPC,,AVD agent and SXS stack updates. Service tag: Storage,https://learn.microsoft.com/en-us/azure/virtual-desktop/required-fqdn-endpoint,AVD;Windows365
AVD-SessionHost,Portal,wvdportalstorageblob.blob.core.windows.net,443,TCP,CloudPC,,Azure portal support. Service tag: AzureCloud,https://learn.microsoft.com/en-us/azure/virtual-desktop/required-fqdn-endpoint,AVD;Windows365
AVD-SessionHost,Azure Infrastructure,169.254.169.254,80,TCP,CloudPC,,Azure Instance Metadata Service (IMDS) - Azure fabric IP; must not be proxied or intercepted,https://learn.microsoft.com/en-us/azure/virtual-desktop/azurecommunicationips,AVD;Windows365
AVD-SessionHost,Azure Infrastructure,168.63.129.16,80,TCP,CloudPC,,WireServer - session host health monitoring; Azure fabric IP; must not be proxied or intercepted,https://learn.microsoft.com/en-us/azure/virtual-desktop/azurecommunicationips,AVD;Windows365
AVD-SessionHost,Azure Infrastructure,168.63.129.16,32526,TCP,CloudPC,,WireServer - Azure VM agent extension and health port; Azure fabric IP; must not be proxied or intercepted,https://learn.microsoft.com/en-us/azure/virtual-desktop/azurecommunicationips,AVD;Windows365
AVD-SessionHost,Azure Infrastructure,168.63.129.16,53,TCP,CloudPC,,WireServer DNS - ONLY required when using Azure-provided DNS; not needed if the VNet uses custom DNS servers,https://learn.microsoft.com/en-us/azure/virtual-desktop/azurecommunicationips,AVD;Windows365
AVD-SessionHost,Certificates,oneocsp.microsoft.com,80,TCP,CloudPC,,OCSP certificate validation. Service tag: AzureFrontDoor.FirstParty,https://learn.microsoft.com/en-us/azure/virtual-desktop/required-fqdn-endpoint,AVD;Windows365
AVD-SessionHost,Certificates,www.microsoft.com,80,TCP,CloudPC,,Certificate chain,https://learn.microsoft.com/en-us/azure/virtual-desktop/required-fqdn-endpoint,AVD;Windows365
AVD-SessionHost,Certificates,*.aikcertaia.microsoft.com,80,TCP,CloudPC,Wildcard - cannot auto-test,AIK Certificate Authority,https://learn.microsoft.com/en-us/azure/virtual-desktop/required-fqdn-endpoint,AVD;Windows365
AVD-SessionHost,Certificates,azcsprodeusaikpublish.blob.core.windows.net,80,TCP,CloudPC,,AIK certificate publishing,https://learn.microsoft.com/en-us/azure/virtual-desktop/required-fqdn-endpoint,AVD;Windows365
AVD-SessionHost,Certificates,*.microsoftaik.azure.net,80,TCP,CloudPC,Wildcard - cannot auto-test,Microsoft AIK Azure,https://learn.microsoft.com/en-us/azure/virtual-desktop/required-fqdn-endpoint,AVD;Windows365
AVD-SessionHost,Certificates,ctldl.windowsupdate.com,80,TCP,CloudPC,,Certificate Trust List download,https://learn.microsoft.com/en-us/azure/virtual-desktop/required-fqdn-endpoint,AVD;Windows365
AVD-SessionHost-Optional,Auth,login.windows.net,443,TCP,CloudPC,,Sign in to Microsoft Online Services and Microsoft 365,https://learn.microsoft.com/en-us/azure/virtual-desktop/required-fqdn-endpoint,AVD;Windows365
AVD-SessionHost-Optional,Connectivity,www.msftconnecttest.com,80,TCP,CloudPC,,Internet connectivity detection,https://learn.microsoft.com/en-us/azure/virtual-desktop/required-fqdn-endpoint,AVD;Windows365
AVD-SessionHost-Optional,Telemetry,*.events.data.microsoft.com,443,TCP,CloudPC,Wildcard - cannot auto-test,Windows telemetry service,https://learn.microsoft.com/en-us/azure/virtual-desktop/required-fqdn-endpoint,AVD;Windows365
AVD-SessionHost-Optional,Updates,*.prod.do.dsp.mp.microsoft.com,443,TCP,CloudPC,Wildcard - cannot auto-test,Windows Update delivery optimization,https://learn.microsoft.com/en-us/azure/virtual-desktop/required-fqdn-endpoint,AVD;Windows365
AVD-SessionHost-Optional,Updates,*.prod.do.dsp.mp.microsoft.com,80,TCP,CloudPC,Wildcard - cannot auto-test,Windows Update delivery optimization,https://learn.microsoft.com/en-us/azure/virtual-desktop/required-fqdn-endpoint,AVD;Windows365
AVD-SessionHost-Optional,Updates,*.sfx.ms,443,TCP,CloudPC,Wildcard - cannot auto-test,OneDrive client updates,https://learn.microsoft.com/en-us/azure/virtual-desktop/required-fqdn-endpoint,AVD;Windows365
AVD-SessionHost-Optional,Certificates,*.digicert.com,80,TCP,CloudPC,Wildcard - cannot auto-test,DigiCert certificate revocation,https://learn.microsoft.com/en-us/azure/virtual-desktop/required-fqdn-endpoint,AVD;Windows365
AVD-SessionHost-Optional,DNS,*.azure-dns.com,443,TCP,CloudPC,Wildcard - cannot auto-test,Azure DNS resolution,https://learn.microsoft.com/en-us/azure/virtual-desktop/required-fqdn-endpoint,AVD;Windows365
AVD-SessionHost-Optional,DNS,*.azure-dns.net,443,TCP,CloudPC,Wildcard - cannot auto-test,Azure DNS resolution,https://learn.microsoft.com/en-us/azure/virtual-desktop/required-fqdn-endpoint,AVD;Windows365
AVD-SessionHost-Optional,Diagnostics,*eh.servicebus.windows.net,443,TCP,CloudPC,Wildcard - cannot auto-test,Azure Event Hub for diagnostic settings. Service tag: EventHub,https://learn.microsoft.com/en-us/azure/virtual-desktop/required-fqdn-endpoint,AVD;Windows365
Client-AVD,Auth,login.microsoftonline.com,443,TCP,Client,,Authentication to Microsoft Online Services,https://learn.microsoft.com/en-us/azure/virtual-desktop/required-fqdn-endpoint,AVD;Windows365
Client-AVD,Auth,login.microsoftonline.com,80,TCP,Client,,Authentication to Microsoft Online Services,https://learn.microsoft.com/en-us/azure/virtual-desktop/required-fqdn-endpoint,AVD;Windows365
Client-AVD,Service,*.wvd.microsoft.com,443,TCP,Client,Wildcard - cannot auto-test,AVD/W365 service traffic,https://learn.microsoft.com/en-us/azure/virtual-desktop/required-fqdn-endpoint,AVD;Windows365
Client-AVD,Connectivity,51.5.0.0/16,3478,UDP,Client,IP range - TCP test not applicable,RDP Shortpath relayed connectivity (TURN/STUN) from the end user device. Service tag: WindowsVirtualDesktop,https://learn.microsoft.com/en-us/azure/virtual-desktop/required-fqdn-endpoint,AVD;Windows365
Client-AVD,Troubleshooting,*.servicebus.windows.net,443,TCP,Client,Wildcard - cannot auto-test,Troubleshooting data,https://learn.microsoft.com/en-us/azure/virtual-desktop/required-fqdn-endpoint,AVD;Windows365
Client-AVD,Navigation,go.microsoft.com,443,TCP,Client,,Microsoft FWLinks,https://learn.microsoft.com/en-us/azure/virtual-desktop/required-fqdn-endpoint,AVD;Windows365
Client-AVD,Navigation,go.microsoft.com,80,TCP,Client,,Microsoft FWLinks,https://learn.microsoft.com/en-us/azure/virtual-desktop/required-fqdn-endpoint,AVD;Windows365
Client-AVD,Navigation,aka.ms,443,TCP,Client,,Microsoft URL shortener,https://learn.microsoft.com/en-us/azure/virtual-desktop/required-fqdn-endpoint,AVD;Windows365
Client-AVD,Docs,learn.microsoft.com,443,TCP,Client,,Microsoft documentation,https://learn.microsoft.com/en-us/azure/virtual-desktop/required-fqdn-endpoint,AVD;Windows365
Client-AVD,Legal,privacy.microsoft.com,443,TCP,Client,,Microsoft privacy statement,https://learn.microsoft.com/en-us/azure/virtual-desktop/required-fqdn-endpoint,AVD;Windows365
Client-AVD,Updates,*.cdn.office.net,443,TCP,Client,Wildcard - cannot auto-test,Automatic updates (Windows Desktop client),https://learn.microsoft.com/en-us/azure/virtual-desktop/required-fqdn-endpoint,AVD;Windows365
Client-AVD,Service,graph.microsoft.com,443,TCP,Client,,Microsoft Graph API,https://learn.microsoft.com/en-us/azure/virtual-desktop/required-fqdn-endpoint,AVD;Windows365
Client-AVD,Portal,windows.cloud.microsoft,443,TCP,Client,,Connection center,https://learn.microsoft.com/en-us/azure/virtual-desktop/required-fqdn-endpoint,AVD;Windows365
Client-AVD,Portal,windows365.microsoft.com,443,TCP,Client,,Windows 365 service traffic,https://learn.microsoft.com/en-us/azure/virtual-desktop/required-fqdn-endpoint,AVD;Windows365
Client-AVD,Portal,ecs.office.com,443,TCP,Client,,Connection center configuration,https://learn.microsoft.com/en-us/azure/virtual-desktop/required-fqdn-endpoint,AVD;Windows365
Client-AVD,Telemetry,*.events.data.microsoft.com,443,TCP,Client,Wildcard - cannot auto-test,Client telemetry,https://learn.microsoft.com/en-us/azure/virtual-desktop/required-fqdn-endpoint,AVD;Windows365
Client-AVD,Certificates,*.microsoftaik.azure.net,80,TCP,Client,Wildcard - cannot auto-test,Microsoft AIK Azure certificates,https://learn.microsoft.com/en-us/azure/virtual-desktop/required-fqdn-endpoint,AVD;Windows365
Client-AVD,Certificates,www.microsoft.com,80,TCP,Client,,Certificate chain,https://learn.microsoft.com/en-us/azure/virtual-desktop/required-fqdn-endpoint,AVD;Windows365
Client-AVD,Certificates,*.aikcertaia.microsoft.com,80,TCP,Client,Wildcard - cannot auto-test,AIK Certificate Authority,https://learn.microsoft.com/en-us/azure/virtual-desktop/required-fqdn-endpoint,AVD;Windows365
Client-AVD,Certificates,azcsprodeusaikpublish.blob.core.windows.net,80,TCP,Client,,AIK certificate publishing,https://learn.microsoft.com/en-us/azure/virtual-desktop/required-fqdn-endpoint,AVD;Windows365
Intune,Core Service,manage.microsoft.com,443,TCP,CloudPC,,Intune client and host service,https://learn.microsoft.com/en-us/intune/intune-service/fundamentals/intune-endpoints,Intune;Windows365
Intune,Core Service,manage.microsoft.com,80,TCP,CloudPC,,Intune client and host service,https://learn.microsoft.com/en-us/intune/intune-service/fundamentals/intune-endpoints,Intune;Windows365
Intune,Core Service,*.manage.microsoft.com,443,TCP,CloudPC,Wildcard - cannot auto-test,Intune client and host service (wildcard),https://learn.microsoft.com/en-us/intune/intune-service/fundamentals/intune-endpoints,Intune;Windows365
Intune,Core Service,*.manage.microsoft.com,80,TCP,CloudPC,Wildcard - cannot auto-test,Intune client and host service (wildcard),https://learn.microsoft.com/en-us/intune/intune-service/fundamentals/intune-endpoints,Intune;Windows365
Intune,Core Service,*.dm.microsoft.com,443,TCP,CloudPC,Wildcard - cannot auto-test,Intune DM endpoints (also used by Defender for Endpoint). SSL inspection not supported,https://learn.microsoft.com/en-us/intune/intune-service/fundamentals/intune-endpoints,Intune;Windows365
Intune,Core Service,*.dm.microsoft.com,80,TCP,CloudPC,Wildcard - cannot auto-test,Intune DM endpoints (also used by Defender for Endpoint). SSL inspection not supported,https://learn.microsoft.com/en-us/intune/intune-service/fundamentals/intune-endpoints,Intune;Windows365
Intune,Core Service,EnterpriseEnrollment.manage.microsoft.com,443,TCP,CloudPC,,Intune enterprise enrollment,https://learn.microsoft.com/en-us/intune/intune-service/fundamentals/intune-endpoints,Intune;Windows365
Intune,Core Service,EnterpriseEnrollment.manage.microsoft.com,80,TCP,CloudPC,,Intune enterprise enrollment,https://learn.microsoft.com/en-us/intune/intune-service/fundamentals/intune-endpoints,Intune;Windows365
Intune,Win32 Apps,swda01-mscdn.manage.microsoft.com,443,TCP,CloudPC,,Win32 app CDN node 1a,https://learn.microsoft.com/en-us/intune/intune-service/fundamentals/intune-endpoints,Intune;Windows365
Intune,Win32 Apps,swda01-mscdn.manage.microsoft.com,80,TCP,CloudPC,,Win32 app CDN node 1a,https://learn.microsoft.com/en-us/intune/intune-service/fundamentals/intune-endpoints,Intune;Windows365
Intune,Win32 Apps,swda02-mscdn.manage.microsoft.com,443,TCP,CloudPC,,Win32 app CDN node 1b,https://learn.microsoft.com/en-us/intune/intune-service/fundamentals/intune-endpoints,Intune;Windows365
Intune,Win32 Apps,swda02-mscdn.manage.microsoft.com,80,TCP,CloudPC,,Win32 app CDN node 1b,https://learn.microsoft.com/en-us/intune/intune-service/fundamentals/intune-endpoints,Intune;Windows365
Intune,Win32 Apps,swdb01-mscdn.manage.microsoft.com,443,TCP,CloudPC,,Win32 app CDN node 2a,https://learn.microsoft.com/en-us/intune/intune-service/fundamentals/intune-endpoints,Intune;Windows365
Intune,Win32 Apps,swdb01-mscdn.manage.microsoft.com,80,TCP,CloudPC,,Win32 app CDN node 2a,https://learn.microsoft.com/en-us/intune/intune-service/fundamentals/intune-endpoints,Intune;Windows365
Intune,Win32 Apps,swdb02-mscdn.manage.microsoft.com,443,TCP,CloudPC,,Win32 app CDN node 2b,https://learn.microsoft.com/en-us/intune/intune-service/fundamentals/intune-endpoints,Intune;Windows365
Intune,Win32 Apps,swdb02-mscdn.manage.microsoft.com,80,TCP,CloudPC,,Win32 app CDN node 2b,https://learn.microsoft.com/en-us/intune/intune-service/fundamentals/intune-endpoints,Intune;Windows365
Intune,Win32 Apps,swdc01-mscdn.manage.microsoft.com,443,TCP,CloudPC,,Win32 app CDN node 3a,https://learn.microsoft.com/en-us/intune/intune-service/fundamentals/intune-endpoints,Intune;Windows365
Intune,Win32 Apps,swdc01-mscdn.manage.microsoft.com,80,TCP,CloudPC,,Win32 app CDN node 3a,https://learn.microsoft.com/en-us/intune/intune-service/fundamentals/intune-endpoints,Intune;Windows365
Intune,Win32 Apps,swdc02-mscdn.manage.microsoft.com,443,TCP,CloudPC,,Win32 app CDN node 3b,https://learn.microsoft.com/en-us/intune/intune-service/fundamentals/intune-endpoints,Intune;Windows365
Intune,Win32 Apps,swdc02-mscdn.manage.microsoft.com,80,TCP,CloudPC,,Win32 app CDN node 3b,https://learn.microsoft.com/en-us/intune/intune-service/fundamentals/intune-endpoints,Intune;Windows365
Intune,Win32 Apps,swdd01-mscdn.manage.microsoft.com,443,TCP,CloudPC,,Win32 app CDN node 4a,https://learn.microsoft.com/en-us/intune/intune-service/fundamentals/intune-endpoints,Intune;Windows365
Intune,Win32 Apps,swdd01-mscdn.manage.microsoft.com,80,TCP,CloudPC,,Win32 app CDN node 4a,https://learn.microsoft.com/en-us/intune/intune-service/fundamentals/intune-endpoints,Intune;Windows365
Intune,Win32 Apps,swdd02-mscdn.manage.microsoft.com,443,TCP,CloudPC,,Win32 app CDN node 4b,https://learn.microsoft.com/en-us/intune/intune-service/fundamentals/intune-endpoints,Intune;Windows365
Intune,Win32 Apps,swdd02-mscdn.manage.microsoft.com,80,TCP,CloudPC,,Win32 app CDN node 4b,https://learn.microsoft.com/en-us/intune/intune-service/fundamentals/intune-endpoints,Intune;Windows365
Intune,Win32 Apps,swdin01-mscdn.manage.microsoft.com,443,TCP,CloudPC,,Win32 app CDN node India 1,https://learn.microsoft.com/en-us/intune/intune-service/fundamentals/intune-endpoints,Intune;Windows365
Intune,Win32 Apps,swdin01-mscdn.manage.microsoft.com,80,TCP,CloudPC,,Win32 app CDN node India 1,https://learn.microsoft.com/en-us/intune/intune-service/fundamentals/intune-endpoints,Intune;Windows365
Intune,Win32 Apps,swdin02-mscdn.manage.microsoft.com,443,TCP,CloudPC,,Win32 app CDN node India 2,https://learn.microsoft.com/en-us/intune/intune-service/fundamentals/intune-endpoints,Intune;Windows365
Intune,Win32 Apps,swdin02-mscdn.manage.microsoft.com,80,TCP,CloudPC,,Win32 app CDN node India 2,https://learn.microsoft.com/en-us/intune/intune-service/fundamentals/intune-endpoints,Intune;Windows365
Intune,Auth,login.microsoftonline.com,443,TCP,CloudPC,,Authentication and Identity (Entra ID),https://learn.microsoft.com/en-us/intune/intune-service/fundamentals/intune-endpoints,Intune;Windows365
Intune,Auth,login.microsoftonline.com,80,TCP,CloudPC,,Authentication and Identity (Entra ID),https://learn.microsoft.com/en-us/intune/intune-service/fundamentals/intune-endpoints,Intune;Windows365
Intune,Auth,graph.windows.net,443,TCP,CloudPC,,Authentication and Identity,https://learn.microsoft.com/en-us/intune/intune-service/fundamentals/intune-endpoints,Intune;Windows365
Intune,Auth,graph.windows.net,80,TCP,CloudPC,,Authentication and Identity,https://learn.microsoft.com/en-us/intune/intune-service/fundamentals/intune-endpoints,Intune;Windows365
Intune,Auth,login.live.com,443,TCP,CloudPC,,Consumer device auth and Microsoft account,https://learn.microsoft.com/en-us/intune/intune-service/fundamentals/intune-endpoints,Intune;Windows365
Intune,Auth,account.live.com,443,TCP,CloudPC,,Consumer Outlook.com and OneDrive device auth,https://learn.microsoft.com/en-us/intune/intune-service/fundamentals/intune-endpoints,Intune;Windows365
Intune,Auth,enterpriseregistration.windows.net,443,TCP,CloudPC,,Device registration,https://learn.microsoft.com/en-us/intune/intune-service/fundamentals/intune-endpoints,Intune;Windows365
Intune,Auth,enterpriseregistration.windows.net,80,TCP,CloudPC,,Device registration,https://learn.microsoft.com/en-us/intune/intune-service/fundamentals/intune-endpoints,Intune;Windows365
Intune,Auth,certauth.enterpriseregistration.windows.net,443,TCP,CloudPC,,Certificate-based device registration,https://learn.microsoft.com/en-us/intune/intune-service/fundamentals/intune-endpoints,Intune;Windows365
Intune,Auth,certauth.enterpriseregistration.windows.net,80,TCP,CloudPC,,Certificate-based device registration,https://learn.microsoft.com/en-us/intune/intune-service/fundamentals/intune-endpoints,Intune;Windows365
Intune,Navigation,go.microsoft.com,443,TCP,CloudPC,,Endpoint discovery,https://learn.microsoft.com/en-us/intune/intune-service/fundamentals/intune-endpoints,Intune;Windows365
Intune,Navigation,go.microsoft.com,80,TCP,CloudPC,,Endpoint discovery,https://learn.microsoft.com/en-us/intune/intune-service/fundamentals/intune-endpoints,Intune;Windows365
Intune,Config,config.edge.skype.com,443,TCP,CloudPC,,Feature deployment dependency,https://learn.microsoft.com/en-us/intune/intune-service/fundamentals/intune-endpoints,Intune;Windows365
Intune,Config,ecs.office.com,443,TCP,CloudPC,,Feature deployment dependency,https://learn.microsoft.com/en-us/intune/intune-service/fundamentals/intune-endpoints,Intune;Windows365
Intune,Config,fd.api.orgmsg.microsoft.com,443,TCP,CloudPC,,Organizational messages,https://learn.microsoft.com/en-us/intune/intune-service/fundamentals/intune-endpoints,Intune;Windows365
Intune,Config,*.officeconfig.msocdn.com,443,TCP,CloudPC,Wildcard - cannot auto-test,Office Customization Service,https://learn.microsoft.com/en-us/intune/intune-service/fundamentals/intune-endpoints,Intune;Windows365
Intune,Config,config.office.com,443,TCP,CloudPC,,Office Customization Service,https://learn.microsoft.com/en-us/intune/intune-service/fundamentals/intune-endpoints,Intune;Windows365
Intune,Delivery Optimization,*.do.dsp.mp.microsoft.com,443,TCP,CloudPC,Wildcard - cannot auto-test,MDM Delivery Optimization,https://learn.microsoft.com/en-us/intune/intune-service/fundamentals/intune-endpoints,Intune;Windows365
Intune,Delivery Optimization,*.do.dsp.mp.microsoft.com,80,TCP,CloudPC,Wildcard - cannot auto-test,MDM Delivery Optimization,https://learn.microsoft.com/en-us/intune/intune-service/fundamentals/intune-endpoints,Intune;Windows365
Intune,Delivery Optimization,*.dl.delivery.mp.microsoft.com,443,TCP,CloudPC,"NoTls - CDN-fronted content endpoint; serves a CDN certificate that does not cover the hostname, so TLS validation here is not meaningful. Content is signed and fetched over HTTP.",MDM Delivery Optimization content,https://learn.microsoft.com/en-us/intune/intune-service/fundamentals/intune-endpoints,Intune;Windows365
Intune,Delivery Optimization,*.dl.delivery.mp.microsoft.com,80,TCP,CloudPC,Wildcard - cannot auto-test,MDM Delivery Optimization content,https://learn.microsoft.com/en-us/intune/intune-service/fundamentals/intune-endpoints,Intune;Windows365
Intune,WNS Push,*.notify.windows.com,443,TCP,CloudPC,Wildcard - cannot auto-test,Windows Push Notification Services (WNS),https://learn.microsoft.com/en-us/intune/intune-service/fundamentals/intune-endpoints,Intune;Windows365
